Search_Genus,Search_Species_Epithet,Search_Name,Accepted_Name,Systematic_Order,Family,Subfamily,Genus,Name,Species_Epithet,Author_Year,Author,Year,Full_Name,Aggregate,Synonym_Search_Name,Synonym_Source,Species_Search_Name,usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family
Iphiclides,podalirius,Iphiclides podalirius,Iphiclides podalirius,1,Papilionidae,Papilioninae,Iphiclides,Iphiclides podalirius,podalirius,"(Linnaeus, 1758)",Linnaeus,1758,"Iphiclides podalirius (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1938214,"Iphiclides podalirius (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Iphiclides,Insecta,97,FALSE,ACCEPTED,Papilionidae
Papilio,podalirius,Papilio podalirius,Iphiclides podalirius,1,Papilionidae,Papilioninae,Iphiclides,Iphiclides podalirius,podalirius,"(Linnaeus, 1758)",Linnaeus,1758,"Iphiclides podalirius (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,6547909,"Papilio podalirius Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Iphiclides,Insecta,97,TRUE,SYNONYM,Papilionidae
Iphiclides,feisthamelii,Iphiclides feisthamelii,Iphiclides feisthamelii,2,Papilionidae,Papilioninae,Iphiclides,Iphiclides feisthamelii,feisthamelii,"(Duponchel, 1832)",Duponchel,1832,"Iphiclides feisthamelii (Duponchel, 1832)",FALSE,FALSE,"",TRUE,4690079,"Iphiclides feisthamelii (Duponchel, 1832)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Iphiclides,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,feisthamelii,Papilio feisthamelii,Iphiclides feisthamelii,2,Papilionidae,Papilioninae,Iphiclides,Iphiclides feisthamelii,feisthamelii,"(Duponchel, 1832)",Duponchel,1832,"Iphiclides feisthamelii (Duponchel, 1832)",FALSE,TRUE,"",TRUE,8292203,"Papilio feisthamelii Duponchel, 1832",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Papilio,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,alexanor,Papilio alexanor,Papilio alexanor,3,Papilionidae,Papilioninae,Papilio,Papilio alexanor,alexanor,"Esper, 1800",Esper,1800,"Papilio alexanor Esper, 1800",FALSE,FALSE,"",TRUE,1938131,"Papilio alexanor Esper, 1800",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Papilio,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,machaon,Papilio machaon,Papilio machaon,4,Papilionidae,Papilioninae,Papilio,Papilio machaon,machaon,"Linnaeus, 1758",Linnaeus,1758,"Papilio machaon Linnaeus, 1758",FALSE,FALSE,"",TRUE,8225376,"Papilio machaon Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Papilio,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,hospiton,Papilio hospiton,Papilio hospiton,5,Papilionidae,Papilioninae,Papilio,Papilio hospiton,hospiton,"Gené, 1839",Gené,1839,"Papilio hospiton Gené, 1839",FALSE,FALSE,"",TRUE,1938050,"Papilio hospiton Guenee, 1839",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Papilio,Insecta,98,FALSE,ACCEPTED,Papilionidae
Parnassius,mnemosyne,Parnassius mnemosyne,Parnassius mnemosyne,6,Papilionidae,Parnassiinae,Parnassius,Parnassius mnemosyne,mnemosyne,"(Linnaeus, 1758)",Linnaeus,1758,"Parnassius mnemosyne (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1938520,"Parnassius mnemosyne (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,mnemosyne,Papilio mnemosyne,Parnassius mnemosyne,6,Papilionidae,Parnassiinae,Parnassius,Parnassius mnemosyne,mnemosyne,"(Linnaeus, 1758)",Linnaeus,1758,"Parnassius mnemosyne (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,4535874,"Papilio mnemosyne Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,TRUE,SYNONYM,Papilionidae
Parnassius,phoebus,Parnassius phoebus,Parnassius phoebus,7,Papilionidae,Parnassiinae,Parnassius,Parnassius phoebus,phoebus,"(Fabricius, 1793)",Fabricius,1793,"Parnassius phoebus (Fabricius, 1793)",FALSE,FALSE,"",TRUE,1938955,"Parnassius phoebus (Fabricius, 1793)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,phoebus,Papilio phoebus,Parnassius phoebus,7,Papilionidae,Parnassiinae,Parnassius,Parnassius phoebus,phoebus,"(Fabricius, 1793)",Fabricius,1793,"Parnassius phoebus (Fabricius, 1793)",FALSE,TRUE,"",TRUE,4535869,"Papilio phoebus Fabricius, 1793",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,TRUE,SYNONYM,Papilionidae
Parnassius,corybas,Parnassius corybas,Parnassius phoebus,7,Papilionidae,Parnassiinae,Parnassius,Parnassius phoebus,phoebus,"(Fabricius, 1793)",Fabricius,1793,"Parnassius phoebus (Fabricius, 1793)",FALSE,TRUE,FRBMS,TRUE,4690713,"Parnassius corybas Fischer de Waldheim, 1823",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,FALSE,ACCEPTED,Papilionidae
Parnassius,apollo,Parnassius apollo,Parnassius apollo,8,Papilionidae,Parnassiinae,Parnassius,Parnassius apollo,apollo,"(Linnaeus, 1758)",Linnaeus,1758,"Parnassius apollo (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1938810,"Parnassius apollo (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,apollo,Papilio apollo,Parnassius apollo,8,Papilionidae,Parnassiinae,Parnassius,Parnassius apollo,apollo,"(Linnaeus, 1758)",Linnaeus,1758,"Parnassius apollo (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,4535876,"Papilio apollo Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Parnassius,Insecta,98,TRUE,SYNONYM,Papilionidae
Archon,apollinus,Archon apollinus,Archon apollinus,9,Papilionidae,Parnassiinae,Archon,Archon apollinus,apollinus,"(Herbst, 1798)",Herbst,1798,"Archon apollinus (Herbst, 1798)",FALSE,FALSE,"",TRUE,1936969,"Archon apollinus (Herbst, 1798)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Archon,Insecta,98,FALSE,ACCEPTED,Papilionidae
Papilio,apollinus,Papilio apollinus,Archon apollinus,9,Papilionidae,Parnassiinae,Archon,Archon apollinus,apollinus,"(Herbst, 1798)",Herbst,1798,"Archon apollinus (Herbst, 1798)",FALSE,TRUE,"",TRUE,9205619,"Papilio apollinus Herbst, 1798",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Archon,Insecta,98,TRUE,SYNONYM,Papilionidae
Zerynthia,cerisy,Zerynthia cerisy,Zerynthia cerisy,10,Papilionidae,Parnassiinae,Zerynthia,Zerynthia cerisy,cerisy,"(Godart, 1824)",Godart,1824,"Zerynthia cerisy (Godart, 1824)",FALSE,FALSE,"",TRUE,5141291,"Zerynthia cerisy (Godart, 1824)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zerynthia,Insecta,98,FALSE,ACCEPTED,Papilionidae
Thais,cerisy,Thais cerisy,Zerynthia cerisy,10,Papilionidae,Parnassiinae,Zerynthia,Zerynthia cerisy,cerisy,"(Godart, 1824)",Godart,1824,"Zerynthia cerisy (Godart, 1824)",FALSE,TRUE,"",TRUE,8906278,"Thais cerisy Godart, 1824",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zerynthia,Insecta,98,TRUE,SYNONYM,Papilionidae
Zerynthia,cerisyi,Zerynthia cerisyi,Zerynthia cerisy,10,Papilionidae,Parnassiinae,Zerynthia,Zerynthia cerisy,cerisy,"(Godart, 1824)",Godart,1824,"Zerynthia cerisy (Godart, 1824)",FALSE,TRUE,kudrna,TRUE,5141291,"Zerynthia cerisy (Godart, 1824)",SPECIES,Lepidoptera,FUZZY,Arthropoda,Animalia,Zerynthia,Insecta,96,FALSE,ACCEPTED,Papilionidae
Zerynthia,cretica,Zerynthia cretica,Zerynthia cretica,11,Papilionidae,Parnassiinae,Zerynthia,Zerynthia cretica,cretica,"(Rebel, 1904)",Rebel,1904,"Zerynthia cretica (Rebel, 1904)",FALSE,FALSE,"",TRUE,5141288,"Zerynthia cretica (Rebel, 1904)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zerynthia,Insecta,98,FALSE,ACCEPTED,Papilionidae
